dataType,seed,aucroc_exchanges,aucroc_finance,aucroc_gambling,aucroc_games,aucroc_high-risk,aucprc_exchanges,aucprc_finance,aucprc_gambling,aucprc_games,aucprc_high-risk,auc_roc_average,av_prec_average
SC_no_comments,13.0,0.99,0.94,0.964,0.953,0.923,0.985,0.848,0.588,0.865,0.627,0.954,0.7825999999999999
SC_no_comments,13.0,0.989,0.954,0.903,0.964,0.872,0.984,0.88,0.477,0.885,0.298,0.9364000000000001,0.7048
SC_no_comments,13.0,0.98,0.951,0.867,0.917,0.981,0.975,0.877,0.443,0.805,0.731,0.9391999999999999,0.7662
comments,0.0,0.972,0.94,0.892,0.929,0.953,0.972,0.856,0.465,0.841,0.633,0.9372,0.7533999999999998
comments,0.0,0.984,0.933,0.866,0.935,0.905,0.978,0.82,0.357,0.815,0.494,0.9246000000000001,0.6928000000000001
comments,0.0,0.975,0.939,0.865,0.955,0.883,0.97,0.878,0.47,0.841,0.489,0.9234,0.7295999999999999
comments,1.0,0.984,0.95,0.87,0.935,0.92,0.978,0.89,0.453,0.805,0.534,0.9318,0.732
comments,1.0,0.983,0.92,0.848,0.938,0.904,0.978,0.809,0.348,0.865,0.513,0.9186,0.7026
comments,1.0,0.971,0.929,0.845,0.953,0.866,0.969,0.834,0.246,0.862,0.354,0.9128000000000001,0.653
comments,2.0,0.983,0.947,0.907,0.958,0.888,0.981,0.865,0.52,0.885,0.542,0.9366,0.7586
comments,2.0,0.977,0.961,0.864,0.93,0.851,0.973,0.9,0.43,0.82,0.489,0.9166000000000001,0.7223999999999999
comments,2.0,0.976,0.895,0.917,0.955,0.881,0.969,0.798,0.547,0.86,0.344,0.9248000000000001,0.7036
comments,3.0,0.984,0.942,0.831,0.931,0.917,0.978,0.85,0.326,0.804,0.367,0.9209999999999999,0.665
comments,3.0,0.973,0.933,0.91,0.956,0.888,0.971,0.862,0.591,0.886,0.493,0.932,0.7605999999999999
comments,3.0,0.975,0.923,0.842,0.918,0.869,0.969,0.825,0.375,0.768,0.504,0.9054,0.6882
comments,4.0,0.973,0.939,0.89,0.94,0.954,0.969,0.864,0.468,0.845,0.62,0.9391999999999999,0.7532
comments,4.0,0.986,0.945,0.874,0.949,0.924,0.983,0.873,0.514,0.828,0.581,0.9356,0.7558
comments,4.0,0.985,0.916,0.877,0.943,0.897,0.98,0.813,0.435,0.854,0.441,0.9236000000000001,0.7045999999999999
comments,5.0,0.979,0.923,0.893,0.94,0.912,0.974,0.831,0.37,0.847,0.496,0.9294,0.7036
comments,5.0,0.969,0.937,0.9,0.956,0.859,0.967,0.857,0.448,0.867,0.36,0.9242000000000001,0.6998
comments,5.0,0.986,0.936,0.859,0.945,0.98,0.98,0.857,0.517,0.842,0.731,0.9411999999999999,0.7854
comments,6.0,0.98,0.931,0.903,0.959,0.911,0.977,0.849,0.343,0.879,0.558,0.9368000000000001,0.7212
comments,6.0,0.982,0.925,0.886,0.907,0.939,0.973,0.827,0.379,0.782,0.418,0.9278000000000001,0.6758
comments,6.0,0.968,0.948,0.851,0.955,0.88,0.964,0.868,0.418,0.87,0.581,0.9204000000000001,0.7402
comments,7.0,0.972,0.932,0.894,0.952,0.876,0.97,0.843,0.523,0.858,0.515,0.9252,0.7418
comments,7.0,0.985,0.947,0.915,0.943,0.979,0.981,0.877,0.533,0.842,0.635,0.9538,0.7736000000000001
comments,7.0,0.984,0.932,0.834,0.956,0.859,0.977,0.841,0.355,0.877,0.418,0.9129999999999999,0.6936
comments,8.0,0.974,0.905,0.828,0.923,0.904,0.971,0.782,0.512,0.765,0.438,0.9067999999999999,0.6936000000000001
comments,8.0,0.99,0.954,0.892,0.956,0.964,0.985,0.883,0.356,0.877,0.68,0.9512,0.7562
comments,8.0,0.981,0.934,0.867,0.947,0.873,0.975,0.87,0.377,0.855,0.603,0.9204000000000001,0.736
comments,9.0,0.989,0.93,0.861,0.946,0.855,0.985,0.84,0.395,0.872,0.462,0.9161999999999999,0.7108
comments,9.0,0.971,0.938,0.911,0.956,0.933,0.967,0.853,0.544,0.878,0.476,0.9418,0.7436
comments,9.0,0.99,0.932,0.872,0.922,0.876,0.987,0.836,0.436,0.774,0.522,0.9184000000000001,0.711
comments,10.0,0.977,0.92,0.897,0.953,0.829,0.974,0.804,0.487,0.883,0.323,0.9151999999999999,0.6942
comments,10.0,0.968,0.943,0.866,0.933,0.907,0.967,0.87,0.4,0.829,0.324,0.9234,0.6779999999999999
comments,10.0,0.978,0.937,0.864,0.932,0.946,0.971,0.868,0.401,0.811,0.524,0.9314,0.7150000000000001
comments,11.0,0.957,0.934,0.852,0.942,0.941,0.952,0.849,0.453,0.832,0.393,0.9251999999999999,0.6958
comments,11.0,0.989,0.938,0.881,0.933,0.942,0.984,0.86,0.423,0.791,0.543,0.9366,0.7202
comments,11.0,0.989,0.931,0.92,0.947,0.885,0.985,0.837,0.535,0.87,0.618,0.9343999999999999,0.769
comments,12.0,0.985,0.926,0.923,0.929,0.892,0.983,0.84,0.558,0.827,0.423,0.931,0.7262000000000001
comments,12.0,0.971,0.952,0.852,0.938,0.88,0.964,0.874,0.382,0.859,0.465,0.9186,0.7088
comments,12.0,0.981,0.923,0.847,0.944,0.887,0.974,0.84,0.357,0.829,0.491,0.9164,0.6982
comments,13.0,0.988,0.93,0.911,0.941,0.881,0.987,0.825,0.404,0.834,0.34,0.9301999999999999,0.6779999999999999
comments,13.0,0.97,0.944,0.823,0.953,0.894,0.964,0.875,0.295,0.857,0.358,0.9168,0.6698
comments,13.0,0.96,0.927,0.828,0.926,0.94,0.958,0.821,0.406,0.802,0.688,0.9161999999999999,0.735
structs,0.0,0.991,0.946,0.899,0.951,0.968,0.987,0.88,0.595,0.862,0.624,,
structs,0.0,0.982,0.925,0.87,0.921,0.865,0.974,0.815,0.291,0.786,0.426,,
structs,0.0,0.979,0.957,0.867,0.951,0.923,0.974,0.897,0.437,0.833,0.601,,
structs,1.0,0.985,0.954,0.877,0.94,0.958,0.979,0.87,0.506,0.836,0.679,,
structs,1.0,0.984,0.94,0.884,0.942,0.912,0.98,0.845,0.424,0.869,0.432,,
structs,1.0,0.985,0.937,0.876,0.947,0.884,0.979,0.854,0.338,0.844,0.475,,
structs,2.0,0.983,0.954,0.939,0.969,0.905,0.98,0.875,0.581,0.912,0.671,,
structs,2.0,0.989,0.958,0.861,0.92,0.907,0.983,0.893,0.435,0.81,0.623,,
structs,2.0,0.979,0.921,0.894,0.941,0.944,0.97,0.844,0.442,0.849,0.482,,
structs,3.0,0.981,0.95,0.883,0.899,0.93,0.974,0.868,0.394,0.785,0.474,,
structs,3.0,0.988,0.942,0.925,0.97,0.919,0.982,0.867,0.592,0.911,0.555,,
structs,3.0,0.973,0.951,0.845,0.93,0.902,0.968,0.889,0.351,0.782,0.538,,
structs,4.0,0.986,0.949,0.931,0.934,0.969,0.978,0.881,0.451,0.848,0.708,,
structs,4.0,0.983,0.955,0.876,0.932,0.928,0.98,0.882,0.543,0.81,0.733,,
structs,4.0,0.986,0.934,0.893,0.944,0.88,0.98,0.848,0.43,0.863,0.381,,
structs,5.0,0.979,0.934,0.913,0.938,0.928,0.976,0.855,0.426,0.843,0.512,,
structs,5.0,0.989,0.95,0.918,0.966,0.894,0.984,0.881,0.508,0.882,0.46,,
structs,5.0,0.987,0.941,0.907,0.934,0.948,0.98,0.863,0.609,0.841,0.727,,
structs,6.0,0.986,0.94,0.917,0.96,0.968,0.98,0.858,0.329,0.893,0.737,,
structs,6.0,0.988,0.946,0.88,0.913,0.905,0.984,0.853,0.558,0.796,0.474,,
structs,6.0,0.976,0.961,0.85,0.948,0.896,0.97,0.891,0.325,0.854,0.503,,
structs,7.0,0.984,0.95,0.889,0.958,0.952,0.977,0.883,0.532,0.898,0.615,,
structs,7.0,0.982,0.959,0.927,0.93,0.942,0.976,0.902,0.51,0.807,0.621,,
structs,7.0,0.989,0.936,0.842,0.938,0.872,0.982,0.835,0.425,0.848,0.352,,
structs,8.0,0.985,0.943,0.871,0.925,0.966,0.978,0.851,0.602,0.772,0.58,,
structs,8.0,0.99,0.965,0.849,0.961,0.939,0.986,0.914,0.412,0.908,0.584,,
structs,8.0,0.985,0.943,0.947,0.937,0.883,0.981,0.856,0.493,0.829,0.609,,
structs,9.0,0.992,0.943,0.872,0.952,0.899,0.987,0.867,0.375,0.892,0.483,,
structs,9.0,0.978,0.934,0.907,0.948,0.984,0.972,0.844,0.48,0.871,0.665,,
structs,9.0,0.992,0.953,0.857,0.914,0.879,0.988,0.859,0.492,0.76,0.479,,
structs,10.0,0.988,0.933,0.868,0.944,0.846,0.983,0.824,0.493,0.878,0.372,,
structs,10.0,0.977,0.964,0.932,0.949,0.962,0.971,0.911,0.461,0.816,0.48,,
structs,10.0,0.983,0.943,0.907,0.912,0.933,0.977,0.869,0.534,0.801,0.593,,
structs,11.0,0.958,0.921,0.872,0.94,0.901,0.95,0.838,0.461,0.818,0.355,,
structs,11.0,0.989,0.961,0.877,0.944,0.947,0.986,0.889,0.408,0.828,0.572,,
structs,11.0,0.988,0.95,0.925,0.945,0.912,0.984,0.874,0.545,0.878,0.586,,
structs,12.0,0.99,0.933,0.91,0.95,0.916,0.988,0.85,0.559,0.878,0.538,,
structs,12.0,0.968,0.956,0.885,0.917,0.937,0.958,0.893,0.406,0.828,0.607,,
structs,12.0,0.991,0.95,0.924,0.939,0.927,0.988,0.879,0.51,0.83,0.711,,
structs,13.0,0.988,0.937,0.93,0.939,0.902,0.983,0.836,0.444,0.822,0.472,,
structs,13.0,0.982,0.949,0.91,0.951,0.851,0.977,0.879,0.404,0.851,0.259,,
structs,13.0,0.975,0.953,0.844,0.919,0.986,0.968,0.876,0.428,0.808,0.68,,
