dataType,seed,aucroc_exchanges,aucroc_finance,aucroc_gambling,aucroc_games,aucroc_high-risk,aucprc_exchanges,aucprc_finance,aucprc_gambling,aucprc_games,aucprc_high-risk,auc_roc_average,av_prec_average
SC_full,0.0,0.994,0.954,0.938,0.967,0.985,0.992,0.895,0.733,0.899,0.825,0.9676,0.8688
SC_full,0.0,0.989,0.953,0.903,0.946,0.904,0.983,0.865,0.395,0.873,0.468,0.9389999999999998,0.7167999999999999
SC_full,0.0,0.986,0.951,0.859,0.962,0.917,0.982,0.895,0.481,0.864,0.588,0.9349999999999999,0.762
SC_full,1.0,0.99,0.956,0.894,0.956,0.949,0.985,0.896,0.515,0.861,0.694,0.9490000000000001,0.7901999999999999
SC_full,1.0,0.99,0.95,0.883,0.957,0.927,0.986,0.864,0.461,0.905,0.631,0.9414,0.7694000000000001
SC_full,1.0,0.993,0.947,0.893,0.96,0.892,0.989,0.88,0.459,0.882,0.455,0.937,0.733
SC_full,2.0,0.991,0.956,0.932,0.974,0.898,0.988,0.883,0.673,0.924,0.721,0.9501999999999999,0.8378
SC_full,2.0,0.993,0.977,0.891,0.93,0.905,0.989,0.939,0.538,0.834,0.598,0.9391999999999999,0.7796000000000001
SC_full,2.0,0.986,0.922,0.896,0.966,0.96,0.981,0.853,0.516,0.899,0.485,0.946,0.7468
SC_full,3.0,0.99,0.957,0.864,0.94,0.942,0.986,0.896,0.406,0.849,0.54,0.9385999999999999,0.7354
SC_full,3.0,0.992,0.956,0.931,0.977,0.903,0.988,0.888,0.7,0.939,0.587,0.9518000000000001,0.8203999999999999
SC_full,3.0,0.988,0.945,0.856,0.948,0.941,0.983,0.873,0.482,0.817,0.553,0.9356,0.7416
SC_full,4.0,0.991,0.951,0.948,0.953,0.966,0.986,0.889,0.593,0.876,0.627,0.9617999999999999,0.7942
SC_full,4.0,0.991,0.964,0.905,0.964,0.934,0.988,0.913,0.647,0.876,0.761,0.9516,0.837
SC_full,4.0,0.991,0.932,0.891,0.938,0.912,0.987,0.84,0.532,0.862,0.488,0.9328,0.7418
SC_full,5.0,0.986,0.937,0.911,0.961,0.927,0.982,0.859,0.493,0.898,0.514,0.9443999999999999,0.7492000000000001
SC_full,5.0,0.994,0.953,0.931,0.971,0.887,0.991,0.897,0.616,0.896,0.521,0.9472000000000002,0.7842
SC_full,5.0,0.987,0.96,0.916,0.947,0.969,0.983,0.896,0.619,0.867,0.785,0.9558,0.8300000000000001
SC_full,6.0,0.987,0.945,0.953,0.971,0.948,0.98,0.877,0.523,0.917,0.734,0.9608000000000001,0.8061999999999999
SC_full,6.0,0.993,0.942,0.908,0.924,0.951,0.99,0.862,0.621,0.818,0.53,0.9436,0.7642
SC_full,6.0,0.986,0.958,0.858,0.967,0.895,0.981,0.891,0.402,0.902,0.458,0.9328,0.7268000000000001
SC_full,7.0,0.987,0.948,0.914,0.972,0.963,0.982,0.882,0.593,0.921,0.694,0.9568,0.8144
SC_full,7.0,0.989,0.961,0.907,0.944,0.984,0.985,0.902,0.59,0.851,0.721,0.9570000000000001,0.8097999999999999
SC_full,7.0,0.994,0.947,0.862,0.965,0.869,0.99,0.872,0.493,0.899,0.371,0.9273999999999999,0.725
SC_full,8.0,0.989,0.933,0.85,0.946,0.967,0.984,0.845,0.515,0.828,0.613,0.9369999999999999,0.7569999999999999
SC_full,8.0,0.993,0.963,0.909,0.966,0.974,0.99,0.91,0.466,0.911,0.65,0.9610000000000001,0.7854
SC_full,8.0,0.989,0.951,0.912,0.961,0.871,0.986,0.885,0.556,0.895,0.665,0.9367999999999999,0.7974
SC_full,9.0,0.995,0.947,0.881,0.957,0.884,0.992,0.88,0.46,0.908,0.48,0.9328,0.744
SC_full,9.0,0.987,0.948,0.915,0.963,0.977,0.981,0.872,0.57,0.898,0.679,0.958,0.8
SC_full,9.0,0.996,0.951,0.899,0.942,0.915,0.994,0.874,0.542,0.814,0.464,0.9406000000000001,0.7376
SC_full,10.0,0.992,0.943,0.918,0.966,0.853,0.99,0.859,0.583,0.916,0.424,0.9343999999999999,0.7544
SC_full,10.0,0.985,0.953,0.906,0.957,0.952,0.981,0.894,0.531,0.863,0.438,0.9506,0.7414000000000001
SC_full,10.0,0.986,0.954,0.875,0.935,0.973,0.982,0.896,0.487,0.823,0.705,0.9446,0.7786000000000001
SC_full,11.0,0.972,0.952,0.877,0.959,0.947,0.963,0.887,0.525,0.864,0.469,0.9414,0.7415999999999999
SC_full,11.0,0.994,0.95,0.902,0.951,0.949,0.992,0.88,0.48,0.845,0.595,0.9492,0.7584
SC_full,11.0,0.994,0.95,0.941,0.955,0.906,0.991,0.883,0.625,0.912,0.682,0.9491999999999999,0.8186
SC_full,12.0,0.994,0.948,0.926,0.961,0.915,0.992,0.875,0.591,0.895,0.595,0.9488,0.7896000000000001
SC_full,12.0,0.983,0.959,0.905,0.943,0.943,0.977,0.888,0.552,0.878,0.569,0.9465999999999999,0.7727999999999999
SC_full,12.0,0.994,0.951,0.904,0.952,0.925,0.993,0.893,0.502,0.861,0.747,0.9452,0.7991999999999999
SC_full,13.0,0.992,0.936,0.957,0.949,0.915,0.99,0.852,0.585,0.856,0.602,0.9498,0.7769999999999999
SC_full,13.0,0.991,0.961,0.896,0.97,0.886,0.987,0.903,0.493,0.903,0.286,0.9408,0.7144
SC_full,13.0,0.986,0.955,0.848,0.937,0.988,0.981,0.877,0.439,0.837,0.757,0.9428000000000001,0.7782000000000001
SC_no_comments,0.0,0.992,0.949,0.932,0.966,0.984,0.989,0.887,0.735,0.893,0.837,0.9645999999999999,0.8681999999999999
SC_no_comments,0.0,0.987,0.94,0.904,0.937,0.877,0.98,0.833,0.383,0.857,0.526,0.9289999999999999,0.7158
SC_no_comments,0.0,0.982,0.949,0.87,0.953,0.933,0.98,0.88,0.492,0.84,0.571,0.9374,0.7525999999999999
SC_no_comments,1.0,0.986,0.955,0.89,0.949,0.952,0.981,0.872,0.467,0.849,0.696,0.9463999999999999,0.7729999999999999
SC_no_comments,1.0,0.988,0.95,0.889,0.952,0.94,0.983,0.863,0.49,0.891,0.562,0.9437999999999999,0.7578000000000001
SC_no_comments,1.0,0.99,0.943,0.877,0.954,0.866,0.987,0.868,0.432,0.86,0.44,0.9259999999999998,0.7173999999999999
SC_no_comments,2.0,0.988,0.95,0.939,0.973,0.914,0.985,0.876,0.663,0.917,0.7,0.9527999999999999,0.8282
SC_no_comments,2.0,0.989,0.965,0.895,0.915,0.893,0.984,0.913,0.52,0.809,0.581,0.9314,0.7614
SC_no_comments,2.0,0.982,0.931,0.863,0.959,0.957,0.978,0.851,0.451,0.881,0.533,0.9384,0.7387999999999999
SC_no_comments,3.0,0.986,0.953,0.871,0.928,0.944,0.982,0.88,0.429,0.823,0.52,0.9364000000000001,0.7268
SC_no_comments,3.0,0.992,0.955,0.933,0.973,0.914,0.987,0.877,0.703,0.928,0.616,0.9533999999999999,0.8221999999999999
SC_no_comments,3.0,0.984,0.945,0.857,0.946,0.935,0.979,0.875,0.451,0.819,0.615,0.9334,0.7478
SC_no_comments,4.0,0.985,0.953,0.96,0.948,0.965,0.979,0.895,0.606,0.874,0.629,0.9621999999999999,0.7966
SC_no_comments,4.0,0.985,0.96,0.9,0.951,0.929,0.984,0.897,0.591,0.843,0.772,0.945,0.8173999999999999
SC_no_comments,4.0,0.989,0.933,0.889,0.935,0.902,0.984,0.825,0.508,0.862,0.495,0.9296,0.7348000000000001
SC_no_comments,5.0,0.984,0.942,0.901,0.959,0.947,0.98,0.866,0.458,0.892,0.512,0.9465999999999999,0.7416
SC_no_comments,5.0,0.993,0.952,0.928,0.967,0.887,0.989,0.887,0.616,0.879,0.5,0.9454,0.7742
SC_no_comments,5.0,0.985,0.951,0.931,0.938,0.954,0.98,0.877,0.627,0.852,0.806,0.9517999999999999,0.8283999999999999
SC_no_comments,6.0,0.982,0.941,0.927,0.965,0.96,0.977,0.859,0.467,0.906,0.76,0.9550000000000001,0.7938000000000001
SC_no_comments,6.0,0.993,0.941,0.913,0.919,0.939,0.99,0.86,0.614,0.805,0.531,0.9410000000000001,0.76
SC_no_comments,6.0,0.984,0.957,0.855,0.964,0.891,0.98,0.873,0.389,0.89,0.461,0.9301999999999999,0.7186
SC_no_comments,7.0,0.983,0.949,0.912,0.966,0.978,0.977,0.886,0.598,0.906,0.688,0.9575999999999999,0.8109999999999999
SC_no_comments,7.0,0.988,0.958,0.92,0.939,0.957,0.982,0.892,0.545,0.848,0.678,0.9524000000000001,0.7889999999999999
SC_no_comments,7.0,0.991,0.946,0.855,0.964,0.857,0.988,0.856,0.448,0.89,0.386,0.9225999999999999,0.7136
SC_no_comments,8.0,0.986,0.939,0.877,0.942,0.972,0.98,0.844,0.565,0.812,0.595,0.9431999999999998,0.7591999999999999
SC_no_comments,8.0,0.99,0.96,0.897,0.962,0.948,0.987,0.902,0.453,0.907,0.623,0.9513999999999999,0.7744
SC_no_comments,8.0,0.987,0.948,0.896,0.957,0.882,0.985,0.871,0.478,0.885,0.685,0.9339999999999999,0.7807999999999999
SC_no_comments,9.0,0.995,0.943,0.872,0.952,0.888,0.992,0.864,0.464,0.895,0.47,0.93,0.7369999999999999
SC_no_comments,9.0,0.982,0.945,0.899,0.948,0.985,0.977,0.855,0.586,0.879,0.741,0.9518000000000001,0.8075999999999999
SC_no_comments,9.0,0.993,0.953,0.908,0.932,0.901,0.991,0.872,0.548,0.794,0.48,0.9374,0.737
SC_no_comments,10.0,0.99,0.94,0.921,0.959,0.868,0.988,0.851,0.56,0.904,0.46,0.9356,0.7525999999999999
SC_no_comments,10.0,0.986,0.961,0.911,0.95,0.946,0.982,0.893,0.514,0.839,0.409,0.9507999999999999,0.7274
SC_no_comments,10.0,0.985,0.948,0.883,0.928,0.945,0.98,0.878,0.523,0.829,0.654,0.9378,0.7727999999999999
SC_no_comments,11.0,0.961,0.939,0.897,0.949,0.93,0.953,0.866,0.543,0.857,0.462,0.9351999999999998,0.7362000000000001
SC_no_comments,11.0,0.991,0.954,0.899,0.945,0.943,0.988,0.883,0.429,0.815,0.613,0.9463999999999999,0.7455999999999999
SC_no_comments,11.0,0.989,0.95,0.95,0.957,0.916,0.987,0.872,0.688,0.906,0.703,0.9524000000000001,0.8311999999999999
SC_no_comments,12.0,0.992,0.948,0.92,0.954,0.922,0.99,0.86,0.574,0.888,0.601,0.9471999999999999,0.7826
SC_no_comments,12.0,0.978,0.96,0.905,0.933,0.923,0.971,0.894,0.501,0.864,0.568,0.9398,0.7596
SC_no_comments,12.0,0.992,0.945,0.906,0.946,0.931,0.991,0.88,0.517,0.849,0.764,0.944,0.8002
