dataType,seed,aucroc_exchanges,aucroc_finance,aucroc_gambling,aucroc_games,aucroc_high-risk,aucprc_exchanges,aucprc_finance,aucprc_gambling,aucprc_games,aucprc_high-risk
SC_full,0.0,0.994,0.954,0.938,0.967,0.985,0.992,0.895,0.733,0.899,0.825
SC_full,0.0,0.989,0.953,0.903,0.946,0.904,0.983,0.865,0.395,0.873,0.468
SC_full,0.0,0.986,0.951,0.859,0.962,0.917,0.982,0.895,0.481,0.864,0.588
SC_full,1.0,0.99,0.956,0.894,0.956,0.949,0.985,0.896,0.515,0.861,0.694
SC_full,1.0,0.99,0.95,0.883,0.957,0.927,0.986,0.864,0.461,0.905,0.631
SC_full,1.0,0.993,0.947,0.893,0.96,0.892,0.989,0.88,0.459,0.882,0.455
SC_full,2.0,0.991,0.956,0.932,0.974,0.898,0.988,0.883,0.673,0.924,0.721
SC_full,2.0,0.993,0.977,0.891,0.93,0.905,0.989,0.939,0.538,0.834,0.598
SC_full,2.0,0.986,0.922,0.896,0.966,0.96,0.981,0.853,0.516,0.899,0.485
SC_full,3.0,0.99,0.957,0.864,0.94,0.942,0.986,0.896,0.406,0.849,0.54
SC_full,3.0,0.992,0.956,0.931,0.977,0.903,0.988,0.888,0.7,0.939,0.587
SC_full,3.0,0.988,0.945,0.856,0.948,0.941,0.983,0.873,0.482,0.817,0.553
SC_full,4.0,0.991,0.951,0.948,0.953,0.966,0.986,0.889,0.593,0.876,0.627
SC_full,4.0,0.991,0.964,0.905,0.964,0.934,0.988,0.913,0.647,0.876,0.761
SC_full,4.0,0.991,0.932,0.891,0.938,0.912,0.987,0.84,0.532,0.862,0.488
SC_full,5.0,0.986,0.937,0.911,0.961,0.927,0.982,0.859,0.493,0.898,0.514
SC_full,5.0,0.994,0.953,0.931,0.971,0.887,0.991,0.897,0.616,0.896,0.521
SC_full,5.0,0.987,0.96,0.916,0.947,0.969,0.983,0.896,0.619,0.867,0.785
SC_full,6.0,0.987,0.945,0.953,0.971,0.948,0.98,0.877,0.523,0.917,0.734
SC_full,6.0,0.993,0.942,0.908,0.924,0.951,0.99,0.862,0.621,0.818,0.53
SC_full,6.0,0.986,0.958,0.858,0.967,0.895,0.981,0.891,0.402,0.902,0.458
SC_full,7.0,0.987,0.948,0.914,0.972,0.963,0.982,0.882,0.593,0.921,0.694
SC_full,7.0,0.989,0.961,0.907,0.944,0.984,0.985,0.902,0.59,0.851,0.721
SC_full,7.0,0.994,0.947,0.862,0.965,0.869,0.99,0.872,0.493,0.899,0.371
SC_full,8.0,0.989,0.933,0.85,0.946,0.967,0.984,0.845,0.515,0.828,0.613
SC_full,8.0,0.993,0.963,0.909,0.966,0.974,0.99,0.91,0.466,0.911,0.65
SC_full,8.0,0.989,0.951,0.912,0.961,0.871,0.986,0.885,0.556,0.895,0.665
SC_full,9.0,0.995,0.947,0.881,0.957,0.884,0.992,0.88,0.46,0.908,0.48
SC_full,9.0,0.987,0.948,0.915,0.963,0.977,0.981,0.872,0.57,0.898,0.679
SC_full,9.0,0.996,0.951,0.899,0.942,0.915,0.994,0.874,0.542,0.814,0.464
SC_full,10.0,0.992,0.943,0.918,0.966,0.853,0.99,0.859,0.583,0.916,0.424
SC_full,10.0,0.985,0.953,0.906,0.957,0.952,0.981,0.894,0.531,0.863,0.438
SC_full,10.0,0.986,0.954,0.875,0.935,0.973,0.982,0.896,0.487,0.823,0.705
SC_full,11.0,0.972,0.952,0.877,0.959,0.947,0.963,0.887,0.525,0.864,0.469
SC_full,11.0,0.994,0.95,0.902,0.951,0.949,0.992,0.88,0.48,0.845,0.595
SC_full,11.0,0.994,0.95,0.941,0.955,0.906,0.991,0.883,0.625,0.912,0.682
SC_full,12.0,0.994,0.948,0.926,0.961,0.915,0.992,0.875,0.591,0.895,0.595
SC_full,12.0,0.983,0.959,0.905,0.943,0.943,0.977,0.888,0.552,0.878,0.569
SC_full,12.0,0.994,0.951,0.904,0.952,0.925,0.993,0.893,0.502,0.861,0.747
SC_full,13.0,0.992,0.936,0.957,0.949,0.915,0.99,0.852,0.585,0.856,0.602
SC_full,13.0,0.991,0.961,0.896,0.97,0.886,0.987,0.903,0.493,0.903,0.286
SC_full,13.0,0.986,0.955,0.848,0.937,0.988,0.981,0.877,0.439,0.837,0.757
SC_no_comments,0.0,0.992,0.949,0.932,0.966,0.984,0.989,0.887,0.735,0.893,0.837
SC_no_comments,0.0,0.987,0.94,0.904,0.937,0.877,0.98,0.833,0.383,0.857,0.526
SC_no_comments,0.0,0.982,0.949,0.87,0.953,0.933,0.98,0.88,0.492,0.84,0.571
SC_no_comments,1.0,0.986,0.955,0.89,0.949,0.952,0.981,0.872,0.467,0.849,0.696
